nome,categoria,preco,estoque,descricao
Maca Peruana 500mg,Saúde,79.99,35,Energético natural 60 caps
Spirulina 500mg,Saúde,89.99,30,Superalimento 120 caps
Clorella 500mg,Saúde,94.99,28,Detox natural 120 caps
Magnésio Dimalato,Saúde,69.99,40,Magnésio quelato 60 caps
Vitamina D3 2000ui,Saúde,39.99,70,Vitamina D 60 caps
Vitamina C 1000mg,Saúde,29.99,80,Ácido ascórbico 60 caps
Zinco Quelato 15mg,Saúde,34.99,65,Zinco biodisponível 60 caps
Ferro Quelato 14mg,Saúde,44.99,50,Ferro quelato 60 caps
Cálcio + Magnésio,Saúde,54.99,45,Saúde óssea 120 caps
Probiótico 10 bilhões,Saúde,109.99,25,Flora intestinal 30 caps
Melatonina 3mg,Saúde,49.99,55,Regulador sono 60 caps
Bicicleta Mountain Bike,Esportes,1299.99,8,MTB aro 29 21 marchas
Esteira Elétrica,Esportes,1999.99,5,Esteira residencial 12km/h
Halteres 20kg Par,Esportes,299.99,15,Halteres ajustáveis
Banco Supino,Esportes,499.99,10,Banco musculação reclinável
Barra Fixa Porta,Esportes,89.99,25,Barra exercícios porta
Corda Pular,Esportes,29.99,50,Corda speed rope
Tapete Yoga,Esportes,79.99,30,Tapete antiderrapante 6mm
Bola Pilates 65cm,Esportes,49.99,35,Bola suíça exercícios
Elástico Exercícios,Esportes,39.99,40,Kit elásticos resistência
Luvas Musculação,Esportes,59.99,45,Luvas grip antiderrapante
Tênis Corrida Asics,Esportes,349.99,20,Tênis running gel
Shorts Corrida,Esportes,89.99,35,Shorts dry-fit masculino
Camiseta Dry-Fit,Esportes,69.99,50,Camiseta esportiva
Top Esportivo,Esportes,79.99,40,Top fitness feminino
Mochila Esportiva,Esportes,129.99,25,Mochila academia 30L
Garrafa Térmica 1L,Esportes,79.99,60,Garrafa inox térmica
Relógio Esportivo,Esportes,299.99,18,Smartwatch fitness GPS
Fone Bluetooth Sport,Esportes,199.99,30,Fone sem fio esportivo
